DOI,PMID,标题,发表日期,评级,分数,通讯作者,邮箱,电话,机构（中文）,Pipeline 来源,处理时间
10.1080/17482631.2026.2640184,41784264,Piano performers' experiences of Tai Chi for physical comfort and mental well-being: a qualitative study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/19490976.2026.2638002,41761878,Myosin IIA motor regulates attaching-effacing bacteria interactions with intestinal epithelium.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/17482631.2026.2637803,41757757,Perceptions of fairness in gender relations: a qualitative study of South Korean middle-aged men.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/08916934.2026.2631208,41729615,Identification of the immune-related diagnostic biomarkers between Graves' disease and thyroid carcinoma based on comprehensive bioinformatics analysis and machine learning.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/2162402X.2026.2633012,41723598,Monocytes acquire a tumor-associated IL1B program upon encountering patient-derived colon cancer organoids.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/10253890.2026.2635367,41723573,Allostatic load in psychiatry: a systematic review and meta-analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/22423982.2026.2634479,41711117,Naapinneq: strengthening Inuit maternal and child health through gathering Inuit from Kalaallit Nunaat and Nunavut.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/19490976.2026.2630563,41696869,GutMIND: A multi-cohort machine learning framework for integrative characteristics of the microbiota-gut-brain axis in neuropsychiatric disorders.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/17482631.2026.2631081,41689171,Making sense of activity-based workplaces: perspectives from staff in a municipal setting.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/10872981.2026.2627020,41672092,Integrating disability and language access education in undergraduate medical training: a curriculum mapping study at a rural medical school.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/15592324.2026.2627686,41664302,Exploring the role of serotonin as a plant stress modulator.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/10641963.2026.2627352,41655191,"ANXA2, DBN1, ZNF385D, and IL6ST: Endothelial cell biomarkers linking atherosclerosis progression to immune microenvironment dysregulation.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/17482631.2026.2625293,41627191,"""Am I My Sibling's Keeper?"": the Lived experiences of adult siblings of individuals with Autism Spectrum Disorder in China.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/19490976.2026.2623353,41620634,Dynamic involvement of the core gut microbiome XNP_Guild1 in the evolution of gestational diabetes mellitus.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/10717544.2026.2616887,41566888,Development and evaluation of alginate-based gastroretentive raft-forming systems enabling sustained release of propolis in gastric ulcer treatment.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21505594.2026.2620200,41560560,Genomic characterization of ,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/17482631.2026.2615154,41543227,Legislative compliance in coordinated care transitions: a mixed-method study of healthcare professionals' documentation and older adults' experiences.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
